sentence_id,text,document_id
76,licia ronzulli mengatakan ia ingin menunjukkan berat nya beban yang ditanggung kaum perempuan untuk menjalani karir sekaligus mengasuh anak,6
77,para anggota parlemen sedang membahas usul untuk memperbaiki hak maupun kesempatan bagi perempuan untuk bekerja,6
78,vittoria yang baru berusia satu bulan tampak tidur nyenyak selama sidang berlangsung,6
79,ronzulli yang mewakili partai kebebasan rakyat pimpinan pm italia silvio berlusconi mendapat sambutan meriah ketika berdiri untuk menyampaikan pidato nya,6
80,"ia mengatakan kepada rekan nya sesama anggota parlemen : "" saya ingin melihat komitmen yang lebih besar untuk persoalan-persoalan ini dari lembaga-lembaga eropa dimulai dari dalam parlemen eropa sendiri """,6
81,naskah asli harry potter dipamerkan,7
82,naskah asli dari kisah harry potter yang ditulis tangan oleh pengarang nya jk rowling dipamerkan sebagai bagian dari festival buku di skotlandia selatan,7
83,dua halaman naskah yang dibingkai dan ditandatangani oleh jk rowling itu berisi balada nick si kepala nyaris putus,7
84,naskah itu akan dipamerkan dalam festival di kota wigtown tanggal 24 sampai 3 oktober,7
85,kisah hantu nick itu awal nya ditulis sebagai bagian dari buku harry potter dan kamar rahasia tetapi kemudian kedua halaman itu dibuang sehingga tidak termasuk dalam buku yang diterbitkan,7
86,kedua halaman itu disumbangkan oleh jk rowling bagi yayasan kamus bahasa skotlandia tahun 2005 untuk mendukung pengumpulan dana bagi pembuatan kamus baru bahasa asli skotlandia,7
87,sekarang halaman naskah asli itu dimiliki oleh seorang kolektor buku terkemuka inggris dan pemilik jurnal asia literary review ilyas khan dan belum pernah dipamerkan kepada umum,7
88,"ilyas khan mengatakan "" the asia literary review pernah mendukung berbagai festival buku tetapi saya harus mengatakan bahwa saya sangat senang kami ikut dalam festival wigtown ini """,7
89,""" memamerkan naskah balada nick si kepala nyaris putus adalah cara yang sangat bagus untuk membantu mendukung acara ini """,7
90,tv australia salah sebut pemenang,8
91,acara tv australia ' s next top model sempat mengumumkan pemenang yang salah dalam final yang disiarkan langsung pada seri nya yang keenam,8
92,kelsey martinovich dianugerahi mahkota kemenangan sesuai pilihan pemirsa dan sedang menyampaikan pidato namun presenter sarah murdoch menyela,8
93,"sambil menggeleng-gelengkan kepala dan mendengarkan ear piece dia mengatakan : "" saya mual dengan masalah ini saya amat meminta maaf ini semata-mata kecelakaan """,8
94,dia kemudian mengumumkan pemenang yang sebenarnya yaitu amanda ware yang berusia 18 tahun,8
95,""" ini lah yang terjadi kalau siaran tv langsung "" kata sarah murdoch",8
96,""" ini edan edan edan """,8
97,adapun martinovich - yang sempat disebut sebagai pemenang selama sekitar satu menit tampak menerima kesalahan itu dengan baik,8
98,""" ok ini semata-mata kekeliruan "" kata nya",8
99,sarah murdoch berusaha menjelaskan kekeliruan itu terjadi karena selisih suara yang ketat,8
100,""" yang memimpin terus-menerus berganti benar-benar tergantung pada beberapa suara maju mundur dan akhirnya amanda pemenang nya "" jelas nya",8
101,kedua finalis kemudian berpelukan sebelum ware mengucapkan terima kasih kepada para pendukung nya dan berjalan di atas catwalk untuk terakhir kali,8
102,dan sarah murdoch - seorang model yang merangkap presenter tv - menikah dengan putra rupert lachlan,8
103,membaca don quixote untuk youtube,9
104,akademi kerajaan spanyol mengundang orang di seluruh dunia untuk merekam segmen dari novel klasik don quixote dan mengunggah nya ke youtube,9
105,karya miguel de cervantes ini sering disebut sebagai novel spanyol yang paling populer walau tak banyak yang pernah membaca nya,9
106,namun kini akademi kerajaan spanyol yang merupakan pelindung resmi bahasa spanyol membagi karya itu ke dalam 2.000 segmen,9
107,segmen-segmen itu akan dibaca dan kemudian direkam hanya dalam bahasa spanyol - oleh sukarelawan dan diunggah di halaman khusus youtube,9
108,tujuan nya adalah mempromosikan bahasa spanyol dan novel terkenal itu yang akan menggunakan judul lengkap nya the ingenious hidalgo don quixote of la mancha,9
109,""" bahasa spanyol tidak mendapat ruang yang sepatutnya di internet "" kata sekretaris akademi dario villanueva kepada kantor berita afp",9
110,""" kami ingin mengadukan nya dan melakukan sesuatu untuk mengoreksi nya """,9
111,ditulis pada tahun 1605 novel ini berkisah tentang petualangan seorang pria pensiunan di kawasan la mancha yang punya obsesi dengan gagasan-gagasan kesatria,9
112,novel asli nya terdiri dari 26 bab dan hampir mencapai 1.000 halaman,9
113,bagi yang berminat harus mendaftarkan diri di youtube dan yang terpilih akan membaca segmen tertentu untuk diunggah di youtube,9
114,the hobbit cari aktor kerdil,10
115,tim pembuat film the hobbit mencari aktor kerdil di selandia baru sementara sutradara peter jackson berancang-ancang untuk merealisasikan rencana film tersebut,10
116,sutradara peter jackson meraih piala oscar atas karya nya lord of the rings : the return of the king,10
117,iklan yang muncul di koran terbitan wellington selandia baru menyebutkan wingnut films mencari pria dengan tinggi badan antara 123 cm dan maksimum 158 cm,10
118,proyek dua film itu belum resmi mendapat lampu hijau dari perusahaan perfilman mgm studios akibat kesulitan keuangan yang tengah dialami,10
119,"namun juru bicara wingnut mengatakan mereka ingin "" bersiap-siap """,10
120,juru bicara mengatakan kepada kantor berita afp bahwa iklan itu mencari scale double untuk aktor yang akan mengisi peran dengan dialog sedangkan audisi juga akan diadakan untuk figuran,10
121,""" scale double muncul di beberapa wide shot sebagai pengganti aktor kami dan muncul dengan aktor dewasa lain ketika kami memerlukan orang untuk terlihat lebih kecil atau lebih tinggi "" jelas si juru bicara",10
122,dia menambahkan semua pelamar harus berusia 16 tahun ke atas dan siapa pun yang tidak memenuhi ketentuan tinggi badan akan ditolak,10
123,,10
124,meski ada syarat tinggi badan banyak aktor yang layak dipilih akan tampak jangkung di antara karakter fiksi ciptaan jrr tolkien,10
125,dalam prolog the lord of the rings dia menggambarkan bahwa hobbits berukuran tinggi badan dua hingga tiga kaki sekitar 60 cm hingga 120 cm dan rata-rata tinggi badan mereka tiga kaki enam inci sekitar 75 cm,10
126,"surat-surat yang ditulis si pengarang yang diterbitkan setelah dia meninggal menggambarkan penampakan fisik sosok protagonis the hobbits bilbo baggins : "" agak tambun di perut agak pendek di kaki """,10
127,""" wajah bulat jenaka ; telinga sedikit runcing dan seperti kurcaci ; rambut pendek dan keriting cokelat kaki dari mata kaki ke bawah tertutup dengan bulu cokelat "" tambah nya",10
128,pencarian casting untuk the hobbit dijadwalkan berlangsung hari minggu di national dance and drama centre di wellington,10
129,sutradara kelahiran meksiko guillermo del toro telah bersedia menjadi sutradara film tersebut tapi menarik diri bulan juni dengan alasan rencana produksi sudah tertunda selama dua tahun,10
130,jackson yang merebut oscar untuk sutradara terbaik atas karya nya lord of the rings : the return of the king diperkirakan akan menggantikan dia di kursi sutradara meski belum ada pengumuman resmi mengenai pergantian tersebut,10
131,pencurian ladang anggur,11
132,pencuri di prancis masuk ke sebuah ladang anggur dan mencuri panenan anggur jenis cabernet sauvignon demikian kata polisi,11
133,mereka melakukan aksi di villeneuve - les-beziers minggu malam 26 9 memanfaatkan terang bulan untuk mencuri hingga 30 ton anggur dengan menggunakan mesin,11
134,petani roland cavaille mengatakan kejahatan serupa pernah terjadi sebelum nya di languedoc - roussillon salah satu daerah penghasil anggur terbaik di prancis,11
135,ia mengatakan kejahatan itu bernilai hingga γö£├⌐γö¼├║ 12.900,11
136,""" mereka menggunakan mesin pemanen anggur itu arti nya mereka tidak memerlukan banyak orang untuk melakukan pemanenan dua orang saja cukup "" kata cavaille kepada harian le parisien",11
137,""" ladang itu terletak di kawasan yang cukup terpencil beberapa kilometer dari desa terdekat dan di dekat sungai jadi mereka bisa mencuri dengan aman """,11
138,seorang saksi mata mengaku mendengar suara mesin di pagi dini hari dan polisi meneliti jejak kaki di tempat kejadian kata harian setempat,11
139,cavaille menambahkan bahwa kawanan pencuri jelas sangat profesional dan tak akan kesulitan menjual anggur curian itu,11
140,walau ladang anggur diasuransikan pencurian tidak termasuk dalam lindungan asuransi,11
141,cavaille sangat marah dengan peristiwa tersebut dan mengatakan tidak tahu sama sekali akan siapa yang kira-kira melakukan pencurian,11
142,sebelum nya ia sangat mempercayai adanya rasa solidaritas antarsesama pembuat anggur,11
143,kontes karaoke dapat sejuta pangsit,12
144,seorang teknisi telepon amerika meraih hadiah yang tak biasa dari penampilan nya di kejuaraan dunia karaoke di moskow rusia,12
145,edward pimentel mendapat hadiah satu juta pangsit rusia setelah keluar sebagai favorit penonton dalam kontes itu,12
146,pihak panitia mengatakan bila pimentel makan 100 pangsit setiap hari pasokan yang ia miliki baru akan habis dalam waktu 27 tahun,12
147,penyanyi amatir ini akan mendapat kupon untuk makan pangsit kapan pun dia mau,12
148,ia gagal meraih angka dari para juri namun menarik perhatian penonton dengan nomor klasik rhythm dan blues,12
149,pemenang kejuaraan karaoke dunia ini berasal dari finlandia untuk kategori penyanyi pria dan wanita terbaik,12
150,sam moudden dan maria saarimaa - ylitalo mendapat hadiah uang tunai kontrak rekaman dan mesin karaoke,12
151,olahragawan panutan dan merokok,13
152,ketika wayne rooney tertangkap basah merokok di beberapa kesempatan saat jeda libur antara akhir piala dunia dan dimulainya musim kompetisi liga primer ia dikecam habis,13
153,sebagai seorang pesepak bola profesional ia sepertinya harus menjaga kesehatan tubuh nya tanpa terkecuali bahkan ketika musim libur,13
154,namun rooney tidak sendirian,13
155,banyak olahragawan terkenal melakukan nya,13
156,zinedine zidane dan pebasket michael jordan melakukan nya,13
157,persoalan nya apakah mereka harus menghentikan kebiasaan itu untuk memberi contoh yang lebih baik karena mereka diidolakan banyak orang ?,13
158,bintang idola,13
159,sekitar 6 % dari anak berusia 11 hingga 15 tahun mengaku sudah menjadi perokok dan statistik menunjukkan mereka yang merokok sebelum berusia 16 adalah yang paling sulit menghentikan kebiasaan itu,13
160,jean king direktur pengontrolan tembakau di cancer research uk mengatakan atlet terutama pemain sepak bola diidolakan dan karena status nya mereka perlu menempatkan diri sebagai figur panutan,13
161,""" remaja sangat menyukai olahraga dan ada kaitan antara olahraga dan kemewahan "" kata nya",13
162,""" mereka akan mulai merokok kalau melihat idola mereka merokok """,13
163,anna gilmore guru besar ilmu kesehatan masyarakat di universitas bath sepakat bahwa atlet mempunyai tanggung jawab kepada penggemar nya untuk menjadi panutan,13
164,""" kita tahu anak-anak itu terpengaruh oleh orang di sekeliling mereka penelitian membuktikan mereka yang tumbuh dengan orang tua perokok 90 % menjadi perokok """,13
165,""" kita juga tahu bahwa sponsor pabrik rokok kepada olahraga ikut mempengaruhi anak-anak untuk merokok jadi panutan yang negatif termasuk olahragawan memiliki efek yang kurang baik """,13
166,tekanan lingkungan,13
167,namun simon clark direktur kelompok lobi untuk perokok forest mengatakan menyalahkan olahragawan idola sebagai penyebab remaja merokok tidak lah tepat,13
168,""" penelitian membuktikan bahwa tekanan dari lingkungan pergaulan sekitar dan anggota keluarga lah yang mendorong remaja untuk merokok "" kata nya",13
169,""" foto selebriti atau olahragawan merokok tidak banyak berpengaruh """,13
170,""" yang bertanggung jawab atas banyak nya remaja yang merokok adalah mereka yang memberi akses ke rokok itu sendiri itu lah yang harus dikejar """,13
171,""" kalau rooney maupun bintang idola yang lain mereka ini orang dewasa mereka boleh saja merokok tanpa harus dituding bertanggung jawab terhadap apa yang di luar kekuasaan nya "" '",13
172,menteri keuangan sri mulyani mengatakan koreksi tajam pada indeks harga saham gabungan ihsg hingga sekitar 4 persen dalam perdagangan rabu 10 1 hanya efek sesaat dari faktor-faktor regional seperti penurunan harga komoditi perkebunan dan krisis finansial di thailand,14
173,dalam jumpa pers bersama dirut bursa efek jakarta bej erry firmansyah di gedung depkeu jakarta rabu malam menkeu menjelaskan beberapa faktor ekonomi indonesia justru membaik,14
174,kita melihat faktor inflasi dari makanan akan segera hilang yang terkonfirmasi dari harga beras di semua provinsi kata nya,14
175,demikian pula dengan harga minyak,14
176,kondisi apbn 2007 pada dua pekan awal secara umum baik dan pemerintah akan terus menjalankan kebijakan yang sound tepat red sehingga tercipta konsistensi kebijakan yang memberikan keyakinan kepada investor,14
177,"menurut data depkeu net buy obligasi negara atau sun oleh investor asing non residence pada saat ini mencapai rp 20,3 triliun dari posisi awal 2006 rp 4,2 triliun",14
178,"sedangkan untuk net buy saham oleh investor asing non residence mencapai rp 17,3 triliun dari posisi awal tahun rp 2,1 triliun",14
179,""" kalau ditanya ini baik atau tidak saya katakan baik dan mereka investor asing red tidak lari "" kata menkeu",14
180,di sektor riil pemerintah telah mengeluarkan pp no 1 tahun 2007 sebagai revisi pp 148 tentang pemberian fasilitas pph pajak penghasilan untuk penanaman modal pada bidang tertentu dan atau di daerah terpencil,14
181,""" pada hari ini presiden baru mengeluarkan perpres tentang pembebasan ppn produk primer yang berlaku efektif januari "" ujar nya",14
182,pemerintah juga telah berkomitmen untuk meningkatkan produksi padi nasional melalui program-program khusus dan pendanaan sehingga harga beras dapat terkendali,14
183,"produksi crude palm oil cpo pt astra agro lestari aali pada oktober 2007 naik sebesar 11,6 persen menjadi 88.343 ton dibanding september yang hanya 79.161 ton",15
184,direktur aali santoso dalam laporan nya ke bursa senin mengatakan peningkatan produksi ini lebih disebabkan oleh tercukupinya curah hujan di penghujung tahun ini,15
185,"namun lanjut santoso produksi secara total januari hingga oktober 2007 yang mencapai 730.297 ton masih mengalami penurunan sebesar 5,9 persen dibanding periode sama 2006",15
186,"pada periode 10 bulan pertama produksi super cpo aali naik sebesar 4,6 persen dari 482.302 ton menjadi 504.469 ton",15
187,bank indonesia memperkirakan pertumbuhan kredit perbankan pada 2008 akan lebih tinggi dibanding target perbankan pada tahun ini sebesar 22 persen,16
188,saya kira lebih tinggi dari target tahun ini,16
189,tahun ini akan 22 persen,16
190,angka terakhir bulan agustus dan angka sementara sampai minggu terakhir september sudah mendekati 23 persen,16
191,menurut halim peningkatan pertumbuhan ini sejalan dengan perkiraan membaiknya kondisi makro ekonomi dan menguatnya kinerja perbankan nasional pada 2008,16
192,secara fundamental perbankan kita lebih kuat seperti kita lihat dalam kejadian ' subprime mortgage ' misal nya,16
193,kita tak melihat dampak yang terlalu negatif karena mampu menyerap kerugian nya dengan menggunakan pendekatan pasar,16
194,ini menunjukkan sistem berjalan,16
195,ke depan ekonomi ri ekspansi nya akan lebih cepat kredit lebih tinggi kata nya,16
196,mengenai kekhawatiran besar nya kredit akan mengancam kondisi perbankan akibat meningkatnya kredit bermasalah,16
197,halim mengatakan ketahanan perbankan saat ini lebih baik karena penerapan risk management dan good corporate governance gcg dan pengawasan dari bank sentral yang lebih ketat,16
198,duta besar ri untuk kerajaan inggris dan republik irlandia marty m natalegawa mengharapkan ikatan cendekiawan muslim indonesia icmi london dapat memfasilitasi atau menjadi jembatan antara pengusaha indonesia dengan mitra nya di inggris,17
199,harapan itu disampaikan dubes saat menerima pengurus icmi london yang terdiri atas ketua muslimin anwar wakil ketua nizma agustjik dan sekretaris dono widiatmoko di kbri london senin sehubungan digelarnya lokakarya yang bertema menjadi duta ekonomi bangsa yang digelar 8 juli mendatang di london,17
200,dalam pertemuan itu dubes melihat banyak hal yang bisa dilakukan oleh icmi london dalam mengisi peluang yang ada dalam upaya membantu pengusaha indonesia yang akan mengembangkan sayap nya di inggris,17
201,selama ini diakui nya hubungan bilateral indonesia inggris telah berlangsung sejak tahun 1967 dan bahkan investasi inggris di indonesia terbesar kedua setelah jepang dan nomor satu di negara eropa,17
202,namun di sisi lain tidak banyak pengusaha indonesia yang melakukan ekspansi ke inggris,17
203,celah ini yang bisa dilakukan oleh icmi london dalam upaya menjembatani para pengusaha indonesia yang akan melebarkan sayap nya di kerajaan inggris,17
204,mari kita sama-sama melakukan inventarisasi dan juga melihat produk unggulan indonesia yang bisa dijual di inggris ujar dubes yang melihat banyak hal yang bisa dilakukan pengusaha indonesia,17
205,sebelum nya ketua icmi london muslimin anwar mengatakan hubungan dagang antara indonesia dan inggris belakangan ini cukup menggembirakan,17
206,menurut uk trade and investment ukti nilai ekspor indonesia ke inggris sepanjang tahun 2005 tercatat senilai 517 juta pound sterling yang kebanyakan didominasi jenis barang-barang tekstil dan alas kaki,17
207,pt indonesia air transport tbk iata pada tahun ini berencana menambah lima pesawat terbang lagi untuk memenuhi kebutuhan pasar di wilayah nusa tenggara timur ntt nusa tenggara barat ntb labuhan bajo dan bali,18
208,untuk kebutuhan tersebut kami akan menanam investasi sekitar 15 juta dolar as dengan asumsi 3 juta dolar as per pesawat kata direktur utama iata roekman prawirasastra di jakarta senin,18
209,roekman mengatakan pesawat tersebut akan disewakan dengan sistem kontrak kepada perusahaan travel pariwisata,18
210,mereka akan melayani para turis lokal dan asing yang akan berkunjung ke bali ntt ntb maupun labuhan bajo,18
211,perusahaan travel tersebut sudah mempunyai keinginan menambah lima pesawat lagi ujar nya,18
212,saat ini kami baru mampu memenuhi dua pesawat atr 42 - 300 pesanan perusahaan travel pt mirantha nuansa ayu,18
213,satu pesawat baru saja diserahkan pada mirantha sabtu lalu 17 3 di bali dan satu lagi akan diserahkan pada akhir mei tambah nya,18
214,roekman mengatakan selama ini perseroan lebih banyak melayani penyewaan charter pesawat dan helikopter untuk kebutuhan perusahaan minyak asing,18
215,namun saat ini perseroan juga menyediakan juga kebutuhan pesawat untuk perusahaan travel,18
216,sementara itu direktur utama pt mirantha nuansa ayu henry sulysto mengatakan kerja sama dengan perusahaan penyewaan pesawat sangat diperlukan karena tidak mungkin perseroan menyediakan pesawat sendiri karena risiko dan investasi nya besar kata henry,18
217,sementara wilayah ntt ntb dan labuhan bajo sudah menjadi daerah tujuan wisata turis namun transportasi yang menuju ke arah sana masih sangat kurang terutama pesawat udara,18
218,salah satu nya dengan menyediakan alat transportasi udara melalui kerja sama dengan iata lanjut henry,18
219,roekman menambahkan kontrak penyewaan pesawat dengan mirantha bersifat jangka panjang yakni selama enam tahun,18
220,nilai kontrak berdasarkan jam terbang pesawat atau paling tidak sebulan sebesar 160 ribu dolar as per pesawat,18
221,sementara itu sampai akhir 2007 perseroan menargetkan pendapatan sebesar rp 300 miliar atau naik dibandingkan 2006 hanya sebesar rp 204 miliar,18
222,target tersebut belum memasukkan pendapatan sewa kontrak dari mirantha,18
223,""" kalau itu dimasukkan mungkin pendapatan nya akan lebih besar lagi "" kata roekman",18
224,"sedangkan target laba bersih 2007 sebesar rp 30 miliar atau naik dibandingkan 2006 sebesar rp 28,6 miliar",18
225,pt bank mayapada internasional tbk maya akan melakukan penawaran umum obligasi sebesar rp 750 miliar terdiri dari obligasi bank mayapada ii tahun 2007 sebanyak - banyak rp 500 miliar dan obligasi subordinasi bank mayapada ii tahun 2007 sebanyak - banyak rp 250 miliar,19
226,dalam prospektus nya yang dipublikasikan di jakarta selasa bank mayapada mengatakan obligasi bank mayapada ii tahun 2007 akan diterbitkan dalam seri a berjangka waktu tiga tahun dan seri b berjangka waktu lima tahun dengan memberikan tingkat suku bunga tetap dan nilai nominal yang akan ditentukan kemudian,19
227,sementara obligasi subordinasi bank mayapada ii tahun 2007 berjangka waktu 10 tahun memberikan tingkat suku bunga tetap untuk tahun pertama sampai kelima dan suku bunga tetap yang lebih tinggi untuk tahun keenam hingga ke-10 dengan opsi beli pada tahun kelima,19
228,periode penawaran obligasi tersebut berlangsung pada 24 - 26 april 2007 dan akan dicatatkan di bursa efek surabaya bes pada 1 mei 2007,19
229,pt medco energy internasional tbk melalui anak usaha nya medco e & p malaka telah menandatangani penjualan gas ke perusahaan listrik negara pln senilai 430 juta dolar as,20
